Abyssinian
Aegean cat
American Bobtail
American Curl
American Polydactyl
American Shorthair
American Wirehair
Arabian Mau
Asian (cat)
Asian Semi-longhair
Australian Mist
Balinese
Bambino
Bengal
Birman
Bombay
Brazilian Shorthair
British Longhair
British Shorthair
Burmese
Burmilla
California Spangled Cat
Chantilly	Tiffany
Chartreux
Chausie
Cheetoh
Colorpoint Shorthair
Cornish Rex
Cymric
Cyprus Aphrodite
Devon Rex
Donskoy or Don Sphynx
Dragon Li
Dwelf
Egyptian Mau
European Shorthair
Exotic Shorthair
German Rex
Havana Brown
Highlander
Himalayan	Colorpoint Persian
Japanese Bobtail
Javanese
Korat
Kurilian Bobtail
LaPerm
Maine Coon
Manx
Mekong bobtail
Minskin
Munchkin
Napoleon
Nebelung
Norwegian Forest Cat
Ocicat
Ojos Azules
Oregon Rex
Oriental Bicolor
Oriental Longhair
Oriental Shorthair
Persian
Peterbald
Pixie-bob
Ragamuffin
Ragdoll
Russian Black, White or Tabby
Russian Blue
Savannah
Scottish Fold
Selkirk Rex
Serengeti cat
Siamese
Siberian
Singapura
Snowshoe
Sokoke
Somali
Sphynx
Thai
Tonkinese
Toyger
Turkish Angora
Turkish Van
Ukrainian Levkoy
Ussuri
York Chocolate Cat
